Ticker,Name,Market Cap (USD),52 Week High (USD),52 Week Low (USD),Revenue Q-0 (USD),Revenue Q-1 (USD),Revenue Q-2 (USD),Revenue Q-3 (USD),Revenue Q-4 (USD),Net Income Q-0 (USD),Net Income Q-1 (USD),Net Income Q-2 (USD),Net Income Q-3 (USD),Net Income Q-4 (USD),Rank
TMUS,T-Mobile US Inc.,235223826432,276.49,199.41,21957000000,21132000000,20886000000,21872000000,20162000000,2714000000,3222000000,2953000000,2981000000,3059000000,12
AMD,Advanced Micro Devices Inc.,354147893248,267.08,76.48,9246000000,7685000000,7438000000,7658000000,6819000000,1243000000,872000000,709000000,482000000,771000000,13
PEP,PepsiCo Inc.,203636555776,163.65,127.6,23937000000,22726000000,17919000000,27784000000,23319000000,2603000000,1263000000,1834000000,1523000000,2930000000,14
ADBE,Adobe Inc.,135799144448,557.9,311.59,5988000000,5873000000,5714000000,5606000000,5408000000,1772000000,1691000000,1811000000,1683000000,1684000000,15
LIN,Linde plc,192402964480,486.38,406.09,8615000000,8495000000,8112000000,8282000000,8356000000,1929000000,1766000000,1673000000,1725000000,1550000000,16
QCOM,QUALCOMM Incorporated,181369110528,205.95,120.8,11271000000,10365000000,10979000000,11669000000,10244000000,-3117000000,2666000000,2812000000,3180000000,2920000000,17
AZN,AstraZeneca PLC,287482183680,94.02,61.24,15191000000,14457000000,13588000000,14891000000,13565000000,2533000000,2450000000,2916000000,1500000000,1429000000,18
CSCO,Cisco Systems Inc.,303997222912,80.06,52.11,14883000000,14673000000,14149000000,13991000000,13841000000,2860000000,2550000000,2491000000,2428000000,2711000000,19
INTC,Intel Corporation,193471201280,42.48,17.67,13653000000,12859000000,12667000000,14260000000,13284000000,4063000000,-2918000000,-821000000,-126000000,-16639000000,20
INTU,Intuit Inc.,176527884288,813.7,532.65,3885000000,3831000000,7754000000,3963000000,3283000000,446000000,381000000,2820000000,471000000,197000000,21
AMAT,Applied Materials Inc.,200953053184,252.66,123.74,7345000000,7302000000,7100000000,7166000000,7045000000,1184500000,1779000000,2137000000,1185000000,1731000000,22
ISRG,Intuitive Surgical Inc.,205579108352,616,425,2505100000,2440000000,2253400000,2413500000,2038100000,704400000,658400000,698400000,685700000,565100000,23
HON,Honeywell International Inc.,129511022592,227.82281,169.04807,10408000000,10352000000,9822000000,10088000000,9728000000,1825000000,1570000000,1449000000,1285000000,1413000000,24
BKNG,Booking Holdings Inc.,159284543488,5839.41,4096.23,9008000000,6798000000,4762000000,5471000000,7994000000,2748000000,895000000,333000000,1068000000,2517000000,25
CMCSA,Comcast Corporation,98544992256,43.45,25.75,31198000000,30313000000,29887000000,31914000000,32070000000,3332000000,11123000000,3375000000,4777000000,3629000000,26
TXN,Texas Instruments Incorporated,152980504576,221.69,139.95,4742000000,4448000000,4069000000,4007000000,4151000000,1364000000,1295000000,1179000000,1205000000,1362000000,27
AMGN,Amgen Inc.,186023510016,345.84,253.3,9557000000,9179000000,8149000000,9086000000,8503000000,3216000000,1432000000,1730000000,627000000,2830000000,28
PDD,PDD Holdings Inc.,164792565760,139.41,87.11,108276512000,103984832000,95672175000,110610106000,99354401000,29328184000,30753457000,14741829000,27446637000,24980694000,29
SNY,Sanofi,121753247744,60.12,44.62,13170000000,10735000000,10606000000,7631000000,12977000000,2802000000,3940000000,1872000000,499000000,2815000000,30
VRTX,Vertex Pharmaceuticals Incorporated,111173550080,519.68,362.5,3076400000,2964700000,2770200000,2912000000,2771900000,1082900000,1032900000,646300000,913000000,1045400000,31
SBUX,Starbucks Corporation,99052781568,117.46,75.5,9569000000,9456000000,8761600000,9397800000,9073900000,133200000,558300000,384200000,780800000,909200000,32
GILD,Gilead Sciences Inc.,156143140864,128.7,88.57,7769000000,7081000000,6667000000,7569000000,7545000000,3052000000,1960000000,1315000000,1783000000,1253000000,33
ADI,Analog Devices Inc.,129924816896,265.75,158.65,3076117000,2880348000,2640068000,2423174000,2443205000,787738000,518518000,569770000,391316000,478072000,34
ADP,Automatic Data Processing Inc.,103419355136,329.93,247.18,5175200000,5126800000,5553000000,5048400000,4832700000,1013000000,910700000,1249500000,963200000,956300000,35
MELI,MercadoLibre Inc.,105033809920,2645.22,1646,7409000000,6790000000,5935000000,6059000000,5312000000,421000000,523000000,494000000,639000000,397000000,36
PANW,Palo Alto Networks Inc.,130045640704,223.61,144.15,2474000000,2536300000,2289000000,2257400000,2139000000,334000000,253800000,262100000,267300000,351000000,37
LRCX,Lam Research Corporation,196721049600,167.15,56.32,5324173000,5171393000,4720175000,4376047000,4167976000,1568660000,1720088000,1330667000,1191018000,1116444000,38
KLAC,KLA Corporation,154791215104,1284.47,551.33,3209696000,3174741000,3063029000,3076851000,2841541000,1121040000,1202849000,1088416000,824527000,945851000,39
MU,Micron Technology Inc.,266122706944,260.58,61.54,11315000000,9301000000,8053000000,8709000000,7750000000,3201000000,1885000000,1583000000,1870000000,887000000,40
SNPS,Synopsys Inc.,77644808192,651.73,365.74,1739737000,1604266000,1455315000,1635986000,1525749000,242509000,345332000,295683000,1114106000,408055000,41
MDLZ,Mondelez International Inc.,74492436480,71.15,53.95,9744000000,8984000000,9313000000,9604000000,9204000000,743000000,641000000,402000000,1745000000,853000000,42
ABNB,Airbnb Inc.,71625449472,163.93,99.88,4095000000,3096000000,2272000000,2480000000,3732000000,1374000000,642000000,154000000,461000000,1368000000,43
REGN,Regeneron Pharmaceuticals Inc.,82690342912,800.99,476.49,3754300000,3675600000,3028700000,3789200000,3720700000,1460000000,1391600000,808700000,917700000,1340600000,44
CTAS,Cintas Corporation,74956857344,229.24,180.39,2718122000,2667652000,2609159000,2561783000,2501587000,491140000,448256000,463497000,448495000,452033000,45
CDNS,Cadence Design Systems Inc.,84973273088,376.45,221.56,1338838000,1275441000,1242366000,1355981000,1215499000,287122000,160051000,273579000,340210000,238111000,46
WDAY,Workday Inc.,57570537472,294,205.33,2432000000,2348000000,2240000000,2211000000,2160000000,252000000,228000000,68000000,94000000,193000000,47
LULU,lululemon athletica inc.,22074064896,423.32,159.25,2525219000,2370660000,3611497000,2396660000,2371078000,370905000,314572000,748403000,351870000,392922000,48
MRVL,Marvell Technology Inc.,77080682496,127.48,47.09,2006100000,1895300000,1817400000,1516100000,1272900000,194800000,177900000,200200000,-676300000,-193300000,49
CSX,CSX Corporation,65920835584,37.25,26.22,3587000000,3574000000,3423000000,3539000000,3619000000,694000000,829000000,646000000,733000000,894000000,50
PCAR,PACCAR Inc,55367041024,118.81,84.65,6671800000,7510500000,7441700000,7907500000,8239900000,590000000,723800000,505100000,872000000,972100000,51
MAR,Marriott International Inc.,82737635328,307.52,205.4,6489000000,6744000000,6263000000,6429000000,6255000000,728000000,763000000,665000000,455000000,584000000,52
ORLY,O'Reilly Automotive Inc.,86041485312,108.72,78.3,4705696000,4525058000,4136924000,4095601000,4364437000,725896000,668595000,538485000,551130000,665464000,53
PYPL,PayPal Holdings Inc.,59892674560,93.66,55.85,8417000000,8288000000,7791000000,8366000000,7847000000,1248000000,1261000000,1287000000,1121000000,1010000000,54
ROP,Roper Technologies Inc.,48029974528,595.17,435.42,2017500000,1943600000,1882800000,1877100000,1764600000,398500000,378300000,331100000,462300000,367900000,55
MNST,Monster Beverage Corporation,73266814976,75.27,45.7,2197139000,2111593000,1854558000,1812041000,1880973000,524455000,488794000,442993000,270711000,370919000,56
FI,Fiserv Inc.,34314950656,238.59,59.56,5263000000,5516000000,5130000000,5251000000,5215000000,792000000,1026000000,851000000,938000000,564000000,57
ROST,Ross Stores Inc.,57682157568,178.19,122.36,5479152000,5529152000,4984971000,5912279000,5071354000,498995000,507995000,479249000,586784000,488808000,58
MCHP,Microchip Technology Incorporated,28957143040,77.2,34.13,1140400000,1075500000,970500000,1026000000,1163800000,41700000,-18600000,-154600000,-53600000,78400000,59
